Time,Time_Formatted,Temp_External,Temp_Internal,Open,Close_Actuation
1642138456,14/01/2022 05:34,4.1,16.7,0,0
1642138756,14/01/2022 05:39,4.1,16.6,0,0
1642139056,14/01/2022 05:44,4,16.9,0,0
1642139356,14/01/2022 05:49,4,17,0,0
1642139656,14/01/2022 05:54,3.9,16.5,0,0
1642139956,14/01/2022 05:59,3.9,16.9,0,0
1642140256,14/01/2022 06:04,3.9,16.7,0,0
1642140556,14/01/2022 06:09,3.9,16.4,0,0
1642140856,14/01/2022 06:14,3.9,16.9,0,0
1642141156,14/01/2022 06:19,3.9,16.3,0,0
1642141456,14/01/2022 06:24,3.9,16.5,0,0
1642141756,14/01/2022 06:29,3.9,16.9,0,0
1642142056,14/01/2022 06:34,3.9,16.1,0,0
1642142356,14/01/2022 06:39,4,16.5,0,0
1642142656,14/01/2022 06:44,4,16.6,0,0
1642142956,14/01/2022 06:49,4,16.5,0,0
1642143256,14/01/2022 06:54,4,16.6,0,0
1642143556,14/01/2022 06:59,4,16.7,0,0
1642143856,14/01/2022 07:04,4,17,0,0
1642144156,14/01/2022 07:09,4,17.8,0,0
1642144456,14/01/2022 07:14,4,17.5,0,0
1642144756,14/01/2022 07:19,4,17.1,0,0
1642145056,14/01/2022 07:24,4,17.1,0,0
1642145356,14/01/2022 07:29,4,17.5,0,0
1642145656,14/01/2022 07:34,4,17.7,0,0
1642145956,14/01/2022 07:39,4.1,18,0,0
1642146256,14/01/2022 07:44,4.1,17.7,0,0
1642146556,14/01/2022 07:49,4.1,18,0,0
1642146856,14/01/2022 07:54,4.1,17.7,0,0
1642147156,14/01/2022 07:59,4.1,17.3,0,0
1642147456,14/01/2022 08:04,4.1,17.5,0,0
1642147756,14/01/2022 08:09,4.1,17.3,0,0
1642148056,14/01/2022 08:14,4,17.2,0,0
1642148356,14/01/2022 08:19,4,17,0,0
1642148656,14/01/2022 08:24,4,17.5,0,0
1642148956,14/01/2022 08:29,4,17.9,0,0
1642149256,14/01/2022 08:34,4,17.8,0,0
1642149556,14/01/2022 08:39,3.9,17.7,0,0
1642149856,14/01/2022 08:44,3.9,17.1,0,0
1642150156,14/01/2022 08:49,3.9,17.1,0,0
1642150456,14/01/2022 08:54,3.9,17.4,0,0
1642150756,14/01/2022 08:59,3.9,17.2,0,0
1642151056,14/01/2022 09:04,3.9,17.7,0,0
1642151356,14/01/2022 09:09,3.8,17.7,0,0
1642151656,14/01/2022 09:14,3.8,17.1,0,0
1642151956,14/01/2022 09:19,3.8,17.1,0,0
1642152256,14/01/2022 09:24,3.8,17.5,0,0
1642152556,14/01/2022 09:29,3.8,17.5,0,0
1642152856,14/01/2022 09:34,3.7,17.3,0,0
1642153156,14/01/2022 09:39,3.7,17.7,0,0
1642153456,14/01/2022 09:44,3.7,17.3,0,0
1642153756,14/01/2022 09:49,3.7,17.8,0,0
1642154056,14/01/2022 09:54,3.7,17.2,0,0
1642154356,14/01/2022 09:59,3.7,17.5,0,0
1642154656,14/01/2022 10:04,3.8,17.8,0,0
1642154956,14/01/2022 10:09,3.9,17.8,0,0
1642155256,14/01/2022 10:14,4,17.5,0,0
1642155556,14/01/2022 10:19,4.1,17.1,0,0
1642155856,14/01/2022 10:24,4.3,17.5,0,0
1642156156,14/01/2022 10:29,4.4,17.5,0,0
1642156456,14/01/2022 10:34,4.5,17.4,0,0
1642156756,14/01/2022 10:39,4.6,17.5,0,0
1642157056,14/01/2022 10:44,4.7,17.9,0,0
1642157356,14/01/2022 10:49,4.9,18.2,0,0
1642157656,14/01/2022 10:54,5,18.8,0,0
1642157956,14/01/2022 10:59,5.1,18.8,0,0
1642158256,14/01/2022 11:04,5.2,18.3,0,0
1642158556,14/01/2022 11:09,5.3,18.9,0,0
1642158856,14/01/2022 11:14,5.4,18.3,0,0
1642159156,14/01/2022 11:19,5.5,18.2,0,0
1642159456,14/01/2022 11:24,5.6,18.4,0,0
1642159756,14/01/2022 11:29,5.7,18.6,0,0
1642160056,14/01/2022 11:34,5.8,18.3,0,0
1642160356,14/01/2022 11:39,5.9,18.7,0,0
1642160656,14/01/2022 11:44,6,18.5,0,0
1642160956,14/01/2022 11:49,6.1,18.5,0,0
1642161256,14/01/2022 11:54,6.2,18.9,0,0
1642161556,14/01/2022 11:59,6.3,18.1,0,0
1642161856,14/01/2022 12:04,6.4,17.8,1,0
1642162156,14/01/2022 12:09,6.5,17,1,0
1642162456,14/01/2022 12:14,6.6,17.2,1,0
1642162756,14/01/2022 12:19,6.7,16.9,1,1
